target,finding_index,label,rule_id,file,line,function,matched_text,rationale
fastmcp-examples,8,FP,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\auth\authkit\server.py,34,,,The file is a client or an authentication example; file-local keyword matching loses surrounding auth context.
fastmcp-examples,9,TP,MCP04-MUTABLE-DEPENDENCY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\auth\aws_oauth\requirements.txt,1,,fastmcp,The manifest permits a dependency version range or unpinned package.
fastmcp-examples,10,TP,MCP04-MUTABLE-DEPENDENCY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\auth\aws_oauth\requirements.txt,2,,python-dotenv,The manifest permits a dependency version range or unpinned package.
fastmcp-examples,11,TP,MCP06-UNTRUSTED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\code_mode\server.py,71,read_file,,A tool returns file content to model context without a visible content trust boundary.
fastmcp-examples,12,TP,MCP08-MISSING-AUDIT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\code_mode\server.py,71,read_file,,The tool performs file access with no audit telemetry visible in its implementation.
fastmcp-examples,13,Needs context,MCP06-UNTRUSTED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\elicitation.py,26,greet,"f""Hello, {result.data}!""","The value is external/user elicitation data, but exploitability depends on how the host treats structured output."
fastmcp-examples,14,TP,MCP07-PERMISSIVE-BIND,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\get_file.py,1,,,The example binds broadly without authentication visible in the scanned artifact.
fastmcp-examples,15,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\get_file.py,39,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
fastmcp-examples,16,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\persistent_state\server.py,42,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
fastmcp-examples,17,TP,MCP06-UNTRUSTED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\search\server_bm25.py,71,read_file,,A tool returns file content to model context without a visible content trust boundary.
fastmcp-examples,18,TP,MCP08-MISSING-AUDIT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\search\server_bm25.py,71,read_file,,The tool performs file access with no audit telemetry visible in its implementation.
fastmcp-examples,19,Needs context,MCP06-UNTRUSTED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\task_elicitation.py,87,plan_dinner,"f""Tonight's menu: a lovely {veg}{answer.content['cuisine']} dinner!""","The value is external/user elicitation data, but exploitability depends on how the host treats structured output."
fastmcp-examples,20,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\fastmcp\examples\tasks\server.py,65,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
markitdown-mcp,1,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\markitdown\packages\markitdown-mcp\src\markitdown_mcp\__main__.py,6,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
mcp-atlassian,1,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\servers\dependencies.py,96,,_CACHE_TTL,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
mcp-atlassian,2,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\servers\dependencies.py,97,,_CACHE_MAXSIZE,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
mcp-atlassian,3,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\servers\dependencies.py,103,,_CACHE_MISS,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
mcp-atlassian,4,FP,MCP10-SHARED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\servers\dependencies.py,104,,_validation_cache_lock,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
mcp-atlassian,5,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\servers\dependencies.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
mcp-atlassian,6,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\servers\main.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
mcp-atlassian,7,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\utils\environment.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
mcp-atlassian,8,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\utils\oauth.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
mcp-atlassian,9,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\utils\oauth_setup.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
mcp-atlassian,10,FP,MCP11-CONFUSED-DEPUTY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\utils\oauth_setup.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
mcp-atlassian,11,FP,MCP15-UNSAFE-AUTH-URL,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\utils\oauth_setup.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
mcp-atlassian,12,FP,MCP10-OVER-SHARING,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\utils\proxy.py,1,,,"The matched object is cache/configuration/process state, not demonstrated cross-user model context."
mcp-atlassian,13,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\mcp-atlassian\src\mcp_atlassian\utils\toolsets.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
official-fetch,1,TP,MCP13-SSRF,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\official-servers\src\fetch\src\mcp_server_fetch\server.py,237,fetch,fetch_url,Tool-controlled URL reaches the Fetch server's HTTP helper without host or private-address restrictions.
python-sdk-examples,1,FP,MCP11-CONFUSED-DEPUTY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\clients\simple-auth-client\mcp_simple_auth_client\main.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,2,FP,MCP15-UNSAFE-AUTH-URL,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\clients\simple-auth-client\mcp_simple_auth_client\main.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,3,TP,MCP04-MUTABLE-DEPENDENCY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\clients\simple-chatbot\mcp_simple_chatbot\requirements.txt,1,,python-dotenv>=1.0.0,The manifest permits a dependency version range or unpinned package.
python-sdk-examples,4,TP,MCP04-MUTABLE-DEPENDENCY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\clients\simple-chatbot\mcp_simple_chatbot\requirements.txt,2,,requests>=2.31.0,The manifest permits a dependency version range or unpinned package.
python-sdk-examples,5,TP,MCP04-MUTABLE-DEPENDENCY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\clients\simple-chatbot\mcp_simple_chatbot\requirements.txt,3,,mcp>=1.0.0,The manifest permits a dependency version range or unpinned package.
python-sdk-examples,6,TP,MCP04-MUTABLE-DEPENDENCY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\clients\simple-chatbot\mcp_simple_chatbot\requirements.txt,4,,uvicorn>=0.32.1,The manifest permits a dependency version range or unpinned package.
python-sdk-examples,7,TP,MCP09-UNMANAGED-SERVER,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\clients\simple-chatbot\mcp_simple_chatbot\servers_config.json,4,,"""command"": ""uvx""",The MCP configuration launches an unpinned uvx package.
python-sdk-examples,8,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\everything-server\mcp_everything_server\server.py,17,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,9,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-auth\mcp_simple_auth\auth_server.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
python-sdk-examples,10,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-auth\mcp_simple_auth\server.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
python-sdk-examples,11,FP,MCP11-CONFUSED-DEPUTY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-auth\mcp_simple_auth\simple_auth_provider.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,12,FP,MCP01-SECRET-OUTPUT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-auth\mcp_simple_auth\token_verifier.py,1,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
python-sdk-examples,13,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-pagination\mcp_simple_pagination\server.py,148,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,14,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-prompt\mcp_simple_prompt\server.py,74,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,15,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-resource\mcp_simple_resource\server.py,67,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,16,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-streamablehttp\mcp_simple_streamablehttp\server.py,6,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,17,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-streamablehttp-stateless\mcp_simple_streamablehttp_stateless\server.py,6,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,18,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\simple-tool\mcp_simple_tool\server.py,56,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,19,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\servers\sse-polling-demo\mcp_sse_polling_demo\server.py,20,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,20,FP,MCP01-SECRET-HARDCODED,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\clients\identity_assertion_client.py,63,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
python-sdk-examples,21,FP,MCP11-CONFUSED-DEPUTY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\clients\oauth_client.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,22,FP,MCP15-UNSAFE-AUTH-URL,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\clients\url_elicitation_client.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,23,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\__init__.py,26,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,24,Needs context,MCP06-UNTRUSTED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\elicitation.py,45,book_table,"f""[SUCCESS] Booked for {result.data.alternativeDate}""","The value is external/user elicitation data, but exploitability depends on how the host treats structured output."
python-sdk-examples,25,FP,MCP01-SECRET-HARDCODED,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\identity_assertion_server.py,59,,[REDACTED],The broad text match hits example/auth variable handling; no real embedded or emitted credential was shown.
python-sdk-examples,26,FP,MCP11-CONFUSED-DEPUTY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\identity_assertion_server.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,27,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\mcpserver_quickstart.py,42,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,28,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\streamable_config.py,17,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,29,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\streamable_http_basic_mounting.py,1,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,30,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\streamable_http_host_mounting.py,1,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,31,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\streamable_http_multiple_servers.py,1,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,32,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\streamable_http_path_config.py,4,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,33,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\snippets\servers\streamable_starlette_mount.py,2,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,34,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\_hosting.py,15,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,35,FP,MCP11-CONFUSED-DEPUTY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\identity_assertion\server.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,36,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\json_response\server.py,8,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,37,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\json_response\server_lowlevel.py,5,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,38,Needs context,MCP06-UNTRUSTED-CONTEXT,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\legacy_elicitation\server.py,23,register_user,"f""registered {answer.data.username} (plan: {answer.data.plan or 'free'})""","The value is external/user elicitation data, but exploitability depends on how the host treats structured output."
python-sdk-examples,39,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\legacy_routing\server_lowlevel.py,5,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,40,FP,MCP11-CONFUSED-DEPUTY,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\oauth\client.py,1,,,The heuristic is file-local/textual; reviewed examples include state or fixed provider URLs and do not show the reported flow.
python-sdk-examples,41,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\sse_polling\server.py,3,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,42,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\sse_polling\server_lowlevel.py,5,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,43,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\starlette_mount\server.py,1,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,44,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\stateless_legacy\server.py,3,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
python-sdk-examples,45,Needs context,MCP07-MISSING-AUTH,C:\Users\Bar David\Desktop\projects\MCP_project\evaluation\corpus\python-sdk\examples\stories\stateless_legacy\server_lowlevel.py,1,,,"A network transport is visible, but this example may be local/demo-only or protected by deployment middleware."
